category,name,description,price,image_url
Fruits,سفرجل,سفرجل مستورد PLUS1,"3,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-becc37b1-ea71-4c34-ae01-d249d91fe346.jpeg
Fruits,فاكهة التنين,,"4,750 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-5a0ded42-3942-4af0-8ac1-15c71c3ff26f.jpeg
Fruits,طماطة كرزية,,"2,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-4b57468b-7c04-4599-8fc3-e6e9082b71b2.jpeg
Fruits,كاكي,كاكي مستورد درجه اولى,"3,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-5a985ae4-63c3-473c-ae50-eef27304af46.jpeg
Vegetables,خيار مستورد,خيار مستورد ممتاز,"1,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-090a0bc0-df1c-4c0b-bd76-6bb80bd5fdf1.jpeg
Vegetables,طماطة مستوردة,طماطة مستوردة قوية,"1,250 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-3b15d66c-646d-4683-a860-62f7e9bae8f5.jpeg
Vegetables,فلفل الوان,فلفل الوان مدعبل مستورد,"4,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-8cdedb98-3943-4d5a-a757-58b52b638d01.jpeg
Vegetables,فلفل اخضر,فلفل اخضر مدعبل,"1,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-133810cd-ff0d-4514-8ee0-2e5c024ea6be.jpeg
Vegetables,باذنجان,باذنجان مستورد ايراني,"1,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-9356ddba-ff52-444c-a8d7-24830c751b8e.jpeg
Vegetables,قرع ( شجر ),كرع ( شجر ) ممتاز,"1,250 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-b8518a6e-76a5-46fa-8ad2-8707eb789ba7.jpeg
Vegetables,بطاطا,بطاطا مستوردة,"1,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-6fcfd4b0-c541-45df-a28f-c2d648a05e1d.jpeg
Vegetables,بصل ابيض,بصل ابيض كرستال,"1,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-55c1b795-55bd-480b-85c5-adafd254ce56.jpeg
Vegetables,بصل دولمة,بصل احمر حار,"1,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-10a5e85e-74f3-45f5-ad37-edcd106419d6.jpeg
Vegetables,ثوم عراقي,ثوم عراقي فل,"5,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-e367443a-e1a9-4a1d-a46d-dd6a4fbc634b.jpeg
Vegetables,ثوم صيني قطعة,ثوم صيني علبة,"1,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-4b90e263-d53d-4ffd-85ed-cb7c8ec7007b.jpeg
Vegetables,قرنابيط,قرنابيط عراقي,"1,500 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-4b37ab70-cb03-4361-b857-4f97c033e6c8.jpeg
Vegetables,لهانة,لهانة احمر واخضر,"1,000 IQD",https://dyj6gt4964deb.cloudfront.net/images/crop-7dcf8642-e17f-4cae-853b-430074463282.jpeg
